questId	tag	sim	local_v83_en	remote_en	remote_zh
1007	likely-same	0.98	Bigg's Collection of Items	Biggs's Collection of Items	比格斯的物品收集
1200	needs-review	0.09	Moon Bunny's Rice Cake	-	迎月花保护月妙组队任务
1201	needs-review	0.10	First Time Together	-	第一次同行
1202	needs-review	0.48	The Crack of Dimension	[Party Quest] Dimensional Schism	玩具城组队任务
1203	needs-review	0.10	Remnants of Goddess	-	女神塔组队任务
1204	likely-same	0.61	Lord Pirate	[Party Quest] Lord Pirate	海盗船组队任务
1205	likely-same	0.70	Romeo and Juliet	[Party Quest] Romeo and Juliet	拯救罗密欧和朱丽叶
1206	needs-review	0.09	Forest of Poison Haze	-	毒雾森林
1300	needs-review	0.07	Ariant Hunting Competition	-	阿里安特竞技大会
1301	needs-review	0.59	Monster Carnival	[Competitive Content] Monster Carnival	怪物嘉年华
1302	likely-same	0.69	The 2nd Monster Carnival	[Competitive Content] The 2nd Monster Carnival	第2届怪物嘉年华
2019	needs-review	0.58	A Clue to the Secret Book	[Sleepywood] Mr. Wetbottom's Secret Book	秘密之书
2020	likely-same	0.67	Hungry Ronnie	[Sleepywood] Hungry Ronnie	肚子饿的洛尼
2021	likely-same	0.73	Secret to Unagi Special	[Sleepywood] Unagi Special	特制烤鳗鱼
2023	likely-same	0.75	Returned Secret Book	[Sleepywood] Returned Secret Book	秘密之书回收
2024	count-drift	0.94	Collecting 100 Cursed Dolls	Collecting 50 Cursed Dolls	搜集50个诅咒人偶
2025	count-drift	0.94	Collecting 200 Cursed Dolls	Collecting 70 Cursed Dolls	搜集70个诅咒人偶
2026	count-drift	0.96	Collecting 400 Cursed Dolls	Collecting 100 Cursed Dolls	搜集100个诅咒人偶
2027	count-drift	0.93	Collecting 600 Cursed Dolls	Collecting 150 Cursed Dolls	搜集150个诅咒人偶
2028	count-drift	0.95	Collecting 1000 Cursed Dolls	Collecting 200 Cursed Dolls	搜集200个诅咒人偶
2047	likely-same	0.68	Hero's Gladius	[Sleepywood] Hero's Gladius	英雄的战剑
2048	likely-same	0.76	Rewakening the Gladius	[Sleepywood] Reawakening the Gladius	旧战剑唤醒办法
2050	needs-review	0.34	Sabitrama and the Diet Medicine	[Forest of Endurance] The Pink Anthurium	赫尔莎和粉红花束
2051	needs-review	0.29	Sabitrama's Anti-Aging Medicine	[Forest of Endurance] The Double-Rooted Red Ginseng	赫尔莎和强效红参
2052	likely-same	0.70	John's Pink Flower Basket	[Forest of Tenacity] John's Pink Flower Basket	约翰的粉红色花篮
2053	needs-review	0.57	John's Present	[Forest of Tenacity] John's Present	约翰准备的礼物
2054	likely-same	0.64	John's Last Present	[Forest of Tenacity] John's Last Present	约翰准备的最后礼物
2055	needs-review	0.60	Shumi's Lost Coin	[Construction Site B1] Shumi's Lost Coin	休咪丢失的金币
2056	needs-review	0.47	Shumi's Lost Bundle of Money	[Construction Site B2] Shumi's Lost Roll of Cash	休咪丢失的钞票
2057	needs-review	0.57	Shumi's Lost Sack of Money	[Construction Site B3] Shumi's Lost Sack of Cash	休咪丢失的钱包
2096	needs-review	0.44	A Spell that Seals Up a Critical Danger I	[Sleepywood] The Great Danger Seal I	封印住神秘危险之力的仪式 1
2097	needs-review	0.46	A Spell that Seals Up a Critical Danger II	[Sleepywood] The Great Danger Seal II	封印住神秘危险之力的仪式  2
2147	needs-review	0.19	스텀피의 묘목 기르기	Stumpy's Growing Tree	培育树妖王的苗木
2175	likely-same	0.90	Disciples of the Black Magician	Disciples of the Black Mage	黑魔法师的手下
2212	likely-same	0.95	The Path of Pirate	The Path of a Pirate	成为海盗的途径
